Village,Treatment,Site,Sci_name,Palatability,Weight,Scientific_name,Family,Life_form,General_terms,x,y,Functional_type,Functional_groups
APA10,bgrnf,APA10bgrnf,Polygala javana,Yes,24,Polygala javana DC.,Polygalaceae,Undershrub,NA,14.01957255,78.38249092,Annual/perennial herb,Forb
APA7,bgrnf,APA7bgrnf,Polygala javana,Yes,9,Polygala javana DC.,Polygalaceae,Undershrub,NA,14.02257643,78.38102775,Annual/perennial herb,Forb
APA10,bgpnf,APA10bgpnf,Pulicaria wightiana,Yes,10,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.01931795,78.38124299,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Pulicaria wightiana,Yes,55,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.01957255,78.38249092,Annual herb,Forb
APA12,ab,APA12ab,Pulicaria wightiana,Yes,168,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.0411993,78.3177903,Annual herb,Forb
APA12,bgrnf,APA12bgrnf,Pulicaria wightiana,Yes,31,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.0406286,78.3174365,Annual herb,Forb
APA15,bgpnf,APA15bgpnf,Pulicaria wightiana,Yes,45,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.07274083,78.36364415,Annual herb,Forb
APA16,bgrnf,APA16bgrnf,Pulicaria wightiana,Yes,51,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.1162124,78.340371,Annual herb,Forb
APA17,bgpnf,APA17bgpnf,Pulicaria wightiana,Yes,120,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.1182461,78.3338937,Annual herb,Forb
APA17,bgrnf,APA17bgrnf,Pulicaria wightiana,Yes,1075,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.1183527,78.3349066,Annual herb,Forb
APA18,bgpnf,APA18bgpnf,Pulicaria wightiana,Yes,8,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.05877728,78.33773986,Annual herb,Forb
APA19,ab,APA19ab,Pulicaria wightiana,Yes,13,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.06168327,78.34201433,Annual herb,Forb
APA1,ab,APA1ab,Pulicaria wightiana,Yes,7,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.06974742,78.3350166,Annual herb,Forb
APA20,ab,APA20ab,Pulicaria wightiana,Yes,42,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.07351935,78.32029247,Annual herb,Forb
APA20,bgrnf,APA20bgrnf,Pulicaria wightiana,Yes,39,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.07855213,78.32909996,Annual herb,Forb
APA21,bgrnf,APA21bgrnf,Pulicaria wightiana,Yes,49,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.0087733,78.3203361,Annual herb,Forb
APA5,bgrnf,APA5bgrnf,Pulicaria wightiana,Yes,175,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Herb,Asters,14.0633389,78.35483416,Annual herb,Forb
